readed data
Epoch 172 Train cost: 3.61115953098 Validation cost: 3.72968380884,counter 6
Epoch 173 Train cost: 3.61360752074 Validation cost: 3.48562723811,counter 7
Epoch 174 Train cost: 3.6105993756 Validation cost: 3.45955777132,counter 8
Epoch 175 Train cost: 3.60568767171 Validation cost: 3.48625387634,counter 9
Epoch 176 Train cost: 3.60941546694Train mae: 2.60356515645 Validation cost: 3.30240120859 Validation mae 2.2976134064,counter 9 __best__ 
Epoch 177 Train cost: 3.60832770012 Validation cost: 3.62102318663,counter 1
Epoch 178 Train cost: 3.60699456383 Validation cost: 3.7190300737,counter 2
Epoch 179 Train cost: 3.60577946729 Validation cost: 3.5855416552,counter 3
Epoch 180 Train cost: 3.60367295079 Validation cost: 3.62505856785,counter 4
Epoch 181 Train cost: 3.60350366707 Validation cost: 3.56165171281,counter 5
Epoch 182 Train cost: 3.6018934871 Validation cost: 3.5680160838,counter 6
Epoch 183 Train cost: 3.59781391302 Validation cost: 3.77976282158,counter 7
Epoch 184 Train cost: 3.60003394663 Validation cost: 3.61553485069,counter 8
Epoch 185 Train cost: 3.60327113414 Validation cost: 3.57733074981,counter 9
Epoch 186 Train cost: 3.59360055638 Validation cost: 3.75868489403,counter 10
Epoch 187 Train cost: 3.60142131583 Validation cost: 3.50932683093,counter 11
Epoch 188 Train cost: 3.59303090373 Validation cost: 3.47855735785,counter 12
Epoch 189 Train cost: 3.59351001757 Validation cost: 3.52393632537,counter 13
Epoch 190 Train cost: 3.59275885984 Validation cost: 3.72035257823,counter 14
Epoch 191 Train cost: 3.59361827511 Validation cost: 3.67631104482,counter 15
Epoch 192 Train cost: 3.5975950238 Validation cost: 3.7808679587,counter 16
Epoch 193 Train cost: 3.58945169879 Validation cost: 3.60411118306,counter 17
Epoch 194 Train cost: 3.58793738575 Validation cost: 3.64716191735,counter 18
Epoch 195 Train cost: 3.5897574433 Validation cost: 3.61855963805,counter 19
Epoch 196 Train cost: 3.58443062758 Validation cost: 3.62887788897,counter 20
Epoch 197 Train cost: 3.59362632944 Validation cost: 3.5223446865,counter 21
Epoch 198 Train cost: 3.58346609371 Validation cost: 3.7238021314,counter 22
Epoch 199 Train cost: 3.58208100921 Validation cost: 3.61952076369,counter 23
Epoch 200 Train cost: 3.58907424216 Validation cost: 3.48886203728,counter 24
Epoch 201 Train cost: 3.58415543764 Validation cost: 3.63990391397,counter 25
Epoch 202 Train cost: 3.58221639995 Validation cost: 3.7923254591,counter 26
Epoch 203 Train cost: 3.582622754 Validation cost: 3.36785040878,counter 27
Epoch 204 Train cost: 3.57890077584 Validation cost: 3.66390702116,counter 28
Epoch 205 Train cost: 3.57950739603 Validation cost: 3.58619707371,counter 29
Epoch 206 Train cost: 3.58580250049 Validation cost: 3.6880193636,counter 30
Exception AttributeError: AttributeError("'NoneType' object has no attribute 'join'",) in <bound method Unlocker.__del__ of <theano.gof.compilelock.Unlocker object at 0x7f1abf889450>> ignored
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
